Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Label,Timestamp
80,22835,31,13,1337,4526,11960,86,850.1272332786904,332.2616091836498,240.91590621016758,89.9057529087236,538.7959156986734,417.6276884335205,540.2556209973707,810.7154419053556,788.3888908312216,841.7168535437513,893.2186070249526,300.2422807359874,219.85739289821726,122.17509747244438,232.4460060203405,806.287718450706,949.8714699102787,19.978456032760604,784.0072544544303,930.6513059631424,989.100869944709,367.98112026107685,168.3203161022717,869.9268419530499,419.91473748067455,267.0103524152837,397.39757198063927,225.69229316651507,385.05898307806575,66.26572640744843,158.69439132843556,895.7440626207016,BENIGN,2025-12-03 09:23:47
22,33346,31,17,2564,2879,20445,46,190.84122511572244,623.759047955278,395.46308858167043,115.87512822365531,960.9669933363618,187.99084053412517,424.5626228907761,986.8694852390382,583.8121946436376,872.1995353585602,285.4648193384379,952.6903628927694,784.5873802983793,708.6626564663908,443.9255963961367,655.4412390638048,626.0728967886247,951.7298800734603,107.78980993890875,558.6140474922304,952.1128307009568,576.1839632394151,208.53633386877124,449.3043597076546,501.84062358528234,605.5339639388206,960.1927892913459,855.0438704201534,807.1992501590627,621.7101534429737,937.0065192703324,953.6258097661646,BENIGN,2025-12-03 01:16:16
21,48890,20,16,2290,301,64179,51,505.7832572481046,676.1948649615921,748.8550184470876,927.4437466572252,58.87164572114811,70.10320206667686,695.075787004412,845.3845486413137,169.95614037820638,165.05533650627268,721.7408786014113,652.0216493850928,382.18637981113557,944.9442771518002,196.3872918462386,604.2057844142965,777.4057263548475,47.72164056490347,178.75181980527742,348.54452174876803,783.114252718056,1.6298353579934366,799.5174176830792,964.5775110559806,745.7011666264666,282.5776770791854,480.6973140882728,191.00249556394044,310.9971909151975,845.44714196689,107.33065179031642,401.51622423062605,BENIGN,2025-12-03 02:32:50
3306,29709,7,37,528,564,4469,97,198.00652501582837,509.9579204465119,16.210680055253835,81.1641837936402,592.4265356614914,72.17383383551301,14.587667925186732,185.93595945213158,431.36141596571287,244.60406997163687,982.5797219281088,322.5653971171012,413.06272975069237,888.3952960623121,775.3500973129369,129.75988080636446,180.60571475394505,445.57725589801635,5.423158344801893,846.5208278728827,238.93760224766248,226.99618690257506,501.1713555257693,155.48977798023012,355.39046332301615,63.84889238039215,420.78484939235295,510.6140649905312,486.6258398752854,945.0027911228004,731.9386846920835,602.0968613052191,BENIGN,2025-12-03 13:39:27
80,780,4425,996,334832,25379,7918354,2515,756.2690411688086,368.37285490505525,8.403151559174816,818.5225739076499,353.22078858102714,138.38853345821235,407.4507295282053,847.0827837485331,129.33966888437786,578.2036139485588,142.27349665656507,291.47253644802083,257.6175359113356,269.05893714537063,150.73712572081655,994.8684273583558,741.2591417866706,98.00706807972759,261.8659081677527,61.27225009165227,259.79791486140203,727.8446991519943,863.9866051769188,168.6885638403227,185.29379771510014,271.75013322562415,491.7712118550098,690.424885953338,480.5561927262988,627.161261586662,862.4690350364217,455.60052287377664,DDoS,2025-12-03 02:24:09
443,170,362,363,40053,26653,4926573,1307,186.12920898350538,2.353871842696198,362.84258365588073,897.2685708597849,661.5183974504517,64.52467916528171,870.2391397444068,289.3559167418065,661.9670880294303,846.2152655310881,822.0915423964124,770.9193641641584,737.7676294748521,376.5350127844017,154.77759753902643,516.2389947939098,717.4929681705202,797.8860417570971,118.36342828350044,176.79692711998996,582.4603271205086,288.5378438027396,474.8992711305913,724.4209355818294,474.2977875118233,784.4465920206628,822.8447035479054,138.03401118361057,251.5794648189924,644.1777799649798,678.5373213321959,59.62838303854778,Bot,2025-12-03 01:38:46
22,41077,3,43,2176,1101,63149,60,863.8365924083087,251.4064369437027,725.5271702645674,740.545921975946,708.3495394811671,142.07683748300758,914.0164378957425,74.3879836873701,63.106558917904735,734.0574773651585,738.7297863944794,211.8321910102884,738.800669920052,453.30173627567603,494.0050490611351,161.35711624687866,361.93249651869553,9.322616890456326,374.92933839867703,170.2653561272991,282.5386755636827,713.4592917006948,166.654480369403,540.4843269587844,96.2577361541035,749.5934636810464,28.59247739948001,724.9655999189115,668.7879423591592,247.90454273543483,357.0859835547907,511.27295272411135,BENIGN,2025-12-03 07:12:35
80,44706,23,40,4717,4704,38581,95,953.8144199011819,152.89974263668472,409.7581163643865,940.6239313022568,284.90098317505453,760.2926974993748,128.0696301083818,845.2965539323027,582.5945403185751,793.6203486382748,187.1334293407746,96.4519264347441,405.39612448808583,989.2884234798364,300.91536506766323,28.405027553948692,544.083949200891,612.3384681778166,151.3237338645623,305.15562301007395,108.61667715154233,842.7347900515831,494.01439231542577,699.0682595129084,10.557798633228588,299.95912727834394,35.224146111971336,689.304998098496,605.5641372631184,503.54255569208397,457.1828971790273,986.9088030356511,BENIGN,2025-12-03 02:43:07
443,14765,86,38,32014,18559,140275,485,980.7424514759226,71.64644379382446,49.961153568111925,780.2499874801755,851.2126775620839,752.082246340746,127.6479307388716,517.5378747907456,231.14111781012647,229.91635053824422,639.3631790516151,822.0338180854571,355.4106691782425,471.8833729968647,832.4816549704459,908.094471236409,114.878501010658,690.7179523997755,562.1309478353452,281.5663966767301,294.96495701796846,986.0041371669157,64.12567469118923,60.81556636198293,23.778982880637955,934.2581096455797,323.2494411431033,552.45345160723,522.3763544891201,883.8203237154484,375.1550719073283,623.06375160557,Web Attack XSS,2025-12-03 04:58:47
3306,10618,43,43,2756,3988,92073,96,125.63974338574712,179.3719039619902,888.4571029108514,184.3683906062833,276.7200873292015,689.288617937586,936.7008529785584,62.590267131005575,513.1140780290813,965.5173448462816,903.2537100447441,698.3345974485978,713.8428705171622,707.9715906703351,417.9529078161517,22.205752818336254,207.5669640497688,304.75391821720257,935.973459278554,713.6034050732528,488.27838873004845,487.0015689674356,580.7821059065853,918.9928099044762,763.0840840445115,676.9452851056632,832.2740901672588,232.87783858017374,257.83741205940294,894.8599804420855,539.1670670078631,923.4307600003197,BENIGN,2025-12-03 03:45:47
