Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Label,Timestamp
3306,49014,20,21,927,2345,58486,81,949.1152687201436,693.1741526767325,149.80372178959,280.1316804210936,817.4844208963789,676.7501134521896,635.98899661815,353.0361572258961,990.2094472585582,450.51755297003496,272.67933702654415,990.1778779127055,543.5661067224739,870.5866597384777,860.5849688460981,947.8456157200872,946.6344901054309,275.04120509107855,45.720980508451305,985.175505392929,782.0378707628923,929.8226064005231,437.9866410113372,973.4382778991782,401.13222743542576,375.7053780534586,296.5314706195943,753.2374864130243,884.7813964058441,908.1992011060772,152.8847556545996,386.13243717417765,BENIGN,2025-12-08 02:51:15
21,18487,48,39,1392,3679,16368,46,830.6068282278135,44.23430367705028,276.8819933500467,981.5127993210634,402.4677404197813,641.1821354097693,748.4487149339764,23.699898651670324,308.0010019239681,17.620488033233904,207.22505419526982,504.85121426514166,247.95909685250894,120.15630745676464,530.6946610998752,266.8926947922974,794.5127785245684,195.43264016310812,617.9612285429445,730.9989305295477,88.45991038252332,989.9982458125239,988.2019948237457,14.356005275833805,810.9747465525779,195.0577482809873,882.6742742200063,733.7896147028225,546.3869569913066,606.0401917650472,967.8760125733914,496.9061367068297,BENIGN,2025-12-07 21:02:13
80,7916,457,90,42332,6125,4854614,2887,247.0593587919757,410.2107279783655,292.04955786345056,948.4986830082047,112.01846449238195,498.03858640649537,571.603112370406,495.42876109997815,83.16856841750553,962.863865940853,20.812290897691767,283.4596843284097,940.3400536716206,321.33245061394086,618.2075187191914,887.4441968666914,721.7755110334839,639.8647431220458,891.5232536654282,554.0600314937038,829.3882070243983,962.3288929910424,487.73226819852886,71.05342619014843,905.5373182761167,587.3253718060932,652.4646939837434,903.6016715394248,378.03644255093496,475.8716222107549,650.5493115535529,593.9111087322959,DoS Hulk,2025-12-08 17:50:56
21,44175,22,38,199,1454,18390,24,447.7752697709505,295.5978347715624,542.9574318322552,985.0014094607652,500.13117312393143,141.61713688316456,180.76460120426407,580.083184244396,825.8821399660733,785.4067709512602,444.80927827422676,641.2373590353327,354.1874550911017,266.88853422661185,41.63226990709157,859.0845742674229,606.8817644770588,58.521358621602346,301.70344810019077,621.3719566723129,428.6978682072664,314.4223128319158,468.686527468841,618.7573800280743,212.1836133374473,514.592799068552,60.017433992650695,382.79081673111506,996.4510829113509,958.5021128622583,83.67530433022397,818.0209758626966,BENIGN,2025-12-08 00:48:39
443,5167,11,14,1204,2601,44047,66,101.05858204284613,303.8540757470984,164.74057834876353,703.9064975879108,612.0461563394492,82.22199795472184,852.513232540957,929.3208366989567,3.0613869116654646,306.51842089552883,49.23287908005902,275.5084267236694,166.27336462423247,374.16535019682703,11.895733675776787,954.8202832882627,83.26172923992503,198.671748045275,472.9154476328793,636.3420838929788,55.43357921565229,625.615102152168,46.94692384427312,446.9547986409005,535.94439948798,451.72508110052667,40.35844528841548,712.3498913339491,401.09799027883685,828.2567529540893,478.7327476998273,383.0299104488343,BENIGN,2025-12-08 16:55:07
22,41753,13,41,2636,4309,6808,8,268.0652820946201,463.487877426498,689.0592869973942,923.2055056031903,683.2193342762708,864.3768799362448,151.84077340414993,283.4467715738771,439.29617230059836,989.4141682580473,497.925809820557,136.06978252287604,984.4387135457315,477.110591741593,332.073495603887,477.6192179916106,60.92921230640147,196.63445735188833,262.57979984878176,58.877752174860355,5.119049171154577,588.7917177204131,585.9952649235623,377.45356044764156,123.30396628980222,940.3787875599805,620.0010270188856,995.4346576110623,154.00503234923568,387.4184394743984,47.19819921732371,826.6554675652461,BENIGN,2025-12-08 16:52:33
3306,1547,22,12,4502,139,13691,47,624.0030935296028,801.0915609369266,814.6219068011205,259.4144086667787,615.6090421515364,583.5535087482921,476.6311214021773,216.82765126877024,592.3052570376823,283.3913913958571,733.0133751101838,272.0015663302456,676.764472965364,310.10511868950107,756.3769595694516,995.8362441636666,166.44094733803084,277.44188859236027,3.695020598607046,82.6056749854881,0.5126469574285863,695.2007567007417,822.7401392460955,345.19513017962475,222.8152816552531,484.12928597164284,788.6485283325919,238.7790979675406,562.0863023938847,23.128791759993383,340.9498405792021,33.67134907033942,BENIGN,2025-12-08 02:50:23
21,5354,173,151,8327,10847,76993,83,184.7545880940068,716.1602094355295,715.0880670724883,875.4288799182552,846.6071553009817,525.8619693888149,227.0177089585942,491.231748516046,403.84184081325805,81.81972947131122,422.8770574613238,22.108554852817598,58.59687546506554,284.8246561011343,143.61262911546635,682.7062234509406,282.1647175365647,465.13932316927406,86.28756902449086,641.3092975076024,866.8507462341556,78.74800355686196,211.50804206617147,786.0448146387662,267.78842905951274,36.62157253144427,462.560911680087,891.069860413052,215.34034627174526,774.1155736655313,815.6530063999026,536.129103868555,FTP-Patator,2025-12-08 12:15:08
443,36387,37,4,4436,3446,44083,77,503.4107224763822,549.5769669251232,946.1721863515648,713.6423160333104,425.6580183722509,71.69350583589306,326.9285582699839,253.60323543569442,862.1119016135685,138.3045820017462,793.131163314719,210.41026349510682,462.22852797423405,104.02087027438367,896.0348726931838,529.6156452828793,322.80399935361226,497.3787648617395,976.0778187702002,582.8941873589665,902.1829918057289,859.0152171771734,889.8993476918113,449.5398107984548,576.0165684740645,160.26463543996695,924.1684642681339,95.09933851326014,282.8349984235511,125.71002319790736,164.15921307034276,333.60699924054126,BENIGN,2025-12-08 06:16:20
22,31660,5,4,3878,2199,28434,18,309.93978659205123,983.5848595118053,342.6679817600569,180.84422960017088,637.6765352067998,891.5344047384056,869.4690954281839,109.34805076215248,557.4368223525978,860.3199529050769,54.74879915772113,808.1273075050048,819.6331932913722,598.901443146151,126.61111689147819,749.2334836505722,324.69766140854574,612.3834417153784,630.8602444832869,767.1821818205806,858.1714006592716,676.1491483138896,934.2650547066689,825.5277944053707,664.6509986961215,162.79595273439463,241.96931300259328,434.5357728649271,641.1222813318277,602.5306365278399,373.9091941142136,1.3360175611566438,BENIGN,2025-12-08 00:33:53
