Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Label,Timestamp
443,4350,1542,195,307823,75102,3810160,5088,481.5088748236881,602.5570111449393,859.6229464208367,434.7269547450383,821.9577572614627,67.92526093194307,563.7926363250056,953.3217785946314,585.4870190959416,984.6453935766298,363.899054111688,154.94100007335277,957.8337615647862,339.9855521042716,881.841042988929,912.6697513636557,214.60317144193507,457.29220616676633,693.5762688341281,122.0165219186945,335.74176892623456,288.67703840662165,736.510580500098,919.046583902311,492.73945267617523,811.3556796472039,74.75614545313213,478.1238176071546,447.36866107705566,767.0696025621681,847.9106710090938,986.7059902355928,DDoS,2025-12-04 00:08:33
3306,5133,9,2,1338,1008,63258,3,147.58112012383106,519.9860703145708,854.3395522764988,878.4036943691378,693.9072401710357,913.6324482016051,902.3751409261458,391.7733735485268,141.6386447179424,358.0036732063565,794.0907285104926,19.662633070635426,317.9749120401374,503.93761124274937,510.22239998114026,287.6288046841908,101.97207429843192,247.7880254748972,968.009910245856,335.3521079369636,862.4047298645249,192.21497063259375,57.258445813009985,363.84272056727406,29.324774835587153,267.33398299020695,605.2633909395355,597.7431151702159,130.10700343332226,56.13793039166537,368.9259459086155,697.0661788981625,BENIGN,2025-12-04 01:36:44
3306,38876,21,2,4863,1700,68000,36,433.9092321819291,743.5660483271522,496.3896749183652,59.546173780347765,410.1799639205642,788.3533680363478,1.8408888742866836,45.527930095499826,235.66757667398664,874.4238734780037,929.1723043047907,388.4026421486759,328.7653255997254,424.373333452993,860.1730299402276,532.4345877588095,879.5910377941635,50.514909650350106,39.535292032278235,771.6118214068983,927.7555158266989,811.9179509729815,286.177937425662,714.6176881414535,275.6898264285018,584.3318977100262,547.9954381873056,824.7774473628384,731.0187882224246,404.3559038711504,92.23925283875944,451.8692382418804,BENIGN,2025-12-04 03:24:49
80,1108,1899,930,466213,70518,8814758,3712,191.37483634879737,107.4095650198107,13.406413149502306,747.4721072652576,161.73105330030901,741.0103758352496,54.19916048304796,336.36358930911837,144.0625767222038,880.6498808177549,279.6282503665406,944.6344814566532,879.6629649505408,738.7281900482427,433.8881892530558,454.5467242260783,829.0660922364334,477.9725943685867,880.8801953895482,922.6604738425059,840.4330625134336,409.69901349542414,461.2499726291711,845.0028588912065,464.8641430725095,876.694658829269,298.9501651029882,458.7900793961237,821.7056929174115,182.9896831292387,371.9710749534257,565.9329660437468,DDoS,2025-12-03 22:39:31
443,12937,1502,30,24742,5385,2142678,6884,147.9061095515445,416.8795167329723,192.18515487067666,250.87812927460084,199.76987003898472,271.85255158775334,966.5267913030433,489.19665278057977,135.15748390984626,968.9250906325631,680.3355246682178,218.5055930402756,402.94824394813946,717.6642557850934,140.1660158232919,645.6809819480889,588.2119842542785,912.2734100872051,215.057817478445,285.26942227460125,731.0476121160048,227.08018498469818,612.3643160284219,795.1064654339912,466.8454157889799,693.9560094340765,714.43104835308,623.3988534344912,283.55006613502775,506.87828346965625,497.10117416960856,257.3486799070024,DoS Hulk,2025-12-04 06:12:13
22,31437,11,15,4189,673,15832,46,125.96279916133035,930.4384142113141,833.4486715311886,989.0810309934733,431.6510690528018,373.6337430606138,361.9324347901537,520.0852359421821,193.79424389036893,793.6060150399686,815.5221004711814,484.0441610110802,752.1669427679578,748.6202557390661,207.69172640561607,263.4227973265336,707.732312893784,845.8086757952074,284.25331622717164,791.0551364578139,481.3329486290292,182.62933662991833,738.5003091309748,508.03404614634474,277.8503467562263,205.91476054662095,799.8288606355362,491.2833894808417,94.78424727734969,664.9834557623814,85.86956502715914,904.6526063899905,BENIGN,2025-12-04 08:22:28
20780,2065,6,0,608,424,11693,98,198.91402933453838,428.89792043825014,499.4587909591924,404.1633675134323,115.64849231393192,529.8166592827799,893.7027896967712,732.2041711453641,155.33615765079944,784.6458466108044,915.4205502011765,100.22873491790041,158.336872940374,645.4235880026577,773.5795265150798,173.64873066312302,662.4476889274168,271.02006488144235,83.77066622950524,82.27099559938755,964.7833830992727,110.96514422246628,548.4904472891023,290.2029246579355,665.1962482223432,260.4235236164794,379.17768911426543,106.9746863303478,755.707744828913,883.2091239506851,700.7809234687056,702.2335375815843,PortScan,2025-12-04 09:15:34
21,7078,31,17,1414,964,52952,46,623.123770538044,681.5144410988654,787.6215397507663,417.7436138615268,330.8654163026261,904.5102778232182,504.9838233657885,8.039827987035398,127.53371218667087,677.5124667786445,985.1860611663859,895.6470658987674,762.1640550030721,508.39529094719546,812.0235826656012,111.93117059090841,475.906461016432,290.75818696695245,18.27668426096041,610.3580657851003,270.8295674231717,633.0014217608701,451.53278303106714,145.8174077676233,219.120842390535,733.4806590524144,100.29335294757612,960.3126435574877,919.2589975838425,372.2311663613046,104.0742823107913,937.0877397914905,BENIGN,2025-12-04 19:23:02
8080,16278,185,160,18647,6210,384255,485,950.8577522538158,820.419032449738,998.9772754744682,894.6216329240417,402.6155992414022,219.50985604422934,417.3228846942216,719.2184992372623,802.970097456997,145.55380264058104,157.17996458300277,841.6012290895575,761.2632012599249,313.3090181745116,795.1469809266875,804.0582818051639,717.1195664126842,139.65596951389182,640.5376072063934,4.182051641667739,812.6213545993744,575.3040665995188,660.8402559279315,433.13357071075285,461.6568109885294,288.9191890269381,708.7105174533385,176.63835090140068,403.18319207405085,291.5548203088119,629.6689649080548,675.7544359121422,Web Attack SQL Injection,2025-12-04 09:01:24
80,30482,2,2,3270,4992,43152,38,397.5237896109798,845.193678891962,220.4340543243113,880.1649740866682,901.8481189122352,339.0619784862785,115.93256078635828,197.8206480537057,441.52764203359106,34.047996507747925,125.90686426961494,169.63366479561526,598.5040021891962,840.6793987389965,69.590446624626,242.67189309709215,358.23669563850837,961.3770672260526,139.0981769096269,734.9724923914241,657.0519320273536,824.3990948656158,940.477352329714,920.992824607152,106.68399056753142,628.9944361897166,943.6686835612363,22.5640412172049,896.7639930180708,723.1200073394713,287.5741012452193,208.71433624589554,BENIGN,2025-12-04 03:25:06
